time,length,cover,avg_distance
0,232.6738647840216,1417.5,116.922674240213
1,1289.3146740114476,6038.25,238.1130762103623
2,1385.6545007357877,6475.5,246.37491911342812
3,1483.60688502941,6986.75,255.75801436628052
4,1581.3459737495289,7422.5,262.15757206006526
5,1706.174762040071,8039.5,271.93803782604306
6,1834.0620304963186,8700.25,282.893028243018
7,1993.6983651876435,9465.25,296.97202314819094
8,2115.9441216058035,10017.25,307.16757989829296
9,2265.891504434522,10723.75,317.57516520415516
10,2461.837529881247,11635.25,333.0141920089501
11,2639.7095002835504,12372.25,341.2631801881391
12,2848.2972794370953,13254.5,352.0289342109294
13,3103.994924489083,14461.5,364.91799808167417
14,3388.86904614755,15776.0,376.7055515915265
15,3637.1151771707137,17016.25,389.2067109600872
16,3879.989171023794,18266.75,400.77407040170755
17,4233.718002595597,19976.5,416.3854406759018
18,4601.445450354253,21867.5,430.94189243831323
19,4951.115868346001,23708.0,444.19493589047994
20,5275.444671319743,25393.5,453.4133036733121
21,5699.110200072177,27443.75,461.98859263143265
22,6145.624405618919,29584.75,471.16279649797565
23,6547.697363348859,31540.25,479.7853135914035
24,6983.603040051406,33754.0,489.8547968412219
25,7571.361785954956,36648.25,503.61468313741136
26,8138.8958442109315,39137.0,515.7688887442558
27,8663.013101737362,41417.25,527.7785115461136
28,9235.548001598116,44024.0,540.2145841927786
